소유자,소유자소속,데이터,가격,데이터종류,수집장치,행동,날짜,행위자,행위자소속,데이터,가격,데이터종류,수집장치
이지혜,한국데이터진흥원,data_181,1244913,의료데이터,AI스피커,가공,20160620,정예인,대한법률구조공단,data_196,1942032,의료데이터,레일플러스
정예인,SK텔레콤,data_887,1969002,건강데이터,AI스피커,생성,20160716,,,,,,
장보라,SK텔레콤,data_336,1845916,위치데이터,삼성페이,변환,20170520,김소정,과학기술정책연구원,data_673,1664919,의료데이터,T머니
김이진,정보통신산업진흥원,data_475,1986804,위치데이터,레일플러스,변환,20170520,곽은진,AWS,data_276,1200814,음성데이터,스마트워치
양유정,한국연구재단,data_875,1768464,건강데이터,AI스피커,전달,20170520,정은비,대한법률구조공단,,,,
서민지,한국인터넷진흥원,data_847,1480241,위치데이터,T머니,생성,20180330,,,,,,
이재인,과학기술정책연구원,data_257,1729751,건강데이터,AI스피커,생성,20171221,,,,,,
양유정,한국데이터진흥원,data_322,1136666,음성데이터,AI스피커,가공,20160523,양유정,안랩,data_674,1328455,음성데이터,T머니
서민지,안랩,data_524,1470340,건강데이터,스마트워치,생성,20181112,,,,,,
백인호,국립중앙의료원,data_400,1988252,위치데이터,T머니,수정,20171205,이재균,대한법률구조공단,data_690,1147155,의료데이터,스마트워치
이지효,한국데이터진흥원,data_329,1893160,건강데이터,AI스피커,판매,20170520,김성규,지하철공사,,,,
양유정,과학기술정책연구원,data_820,1149083,음성데이터,AI스피커,변환,20160606,황민현,한국데이터진흥원,data_831,1802599,위치데이터,AI스피커
양유정,상명대학교,data_781,1996716,음성데이터,AI스피커,생성,20161005,,,,,,
강미나,상명대학교,data_643,1969026,건강데이터,AI스피커,생성,20160716,,,,,,
김소정,국민건강보험공단,data_804,1180969,의료데이터,페이션트모니터,변환,20170520,신유나,과학기술정책연구원,data_571,1211132,음성데이터,스마트워치
이태민,CJ올리브네트웍스,data_961,1264477,건강데이터,AI스피커,수정,20180131,송가인,과학기술정책연구원,data_820,1171956,의료데이터,AI스피커
양유정,국립중앙의료원,data_971,1875031,위치데이터,레일플러스,수정,20160728,안소희,CJ올리브네트웍스,data_968,1860480,위치데이터,AI스피커
김이진,SK텔레콤,data_690,1362501,위치데이터,캐시비,배포,20170520,김이진,건강보험심사평가원,,,,
유정연,안랩,data_245,1511297,건강데이터,AI스피커,가공,20160713,김다현,삼성SDS,data_410,1821682,음성데이터,스마트워치
김이진,숙명여자대학교,data_361,1040062,음성데이터,스마트워치,배포,20170520,이재인,삼성SDS,,,,
정은비,안랩,data_568,1148274,건강데이터,스마트워치,배포,20170520,강한나,국민건강보험공단,,,,
오세훈,한국데이터진흥원,data_607,1973157,음성데이터,스마트워치,생성,20170910,,,,,,
고은성,고려대학교,data_648,1359825,음성데이터,스마트워치,생성,20160305,,,,,,
장보라,대한법률구조공단,data_971,1418654,음성데이터,스마트워치,변환,20180415,김준면,안랩,data_682,1007085,위치데이터,스마트워치
민경아,SK텔레콤,data_407,1891194,위치데이터,캐시비,가공,20180710,이민형,한국과학기술정보연구원,data_775,1653031,의료데이터,스마트워치
김칫국,AWS,data_902,1321980,건강데이터,AI스피커,가공,20170801,최민호,안랩,data_692,1564927,위치데이터,레일플러스
이동혁,한국인터넷진흥원,data_739,1445018,위치데이터,캐시비,생성,20170421,,,,,,
전소연,AWS,data_317,1272442,건강데이터,스마트워치,수정,20170131,안지영,국민건강보험공단,data_718,1769118,의료데이터,스마트워치
차준호,한국보건산업진흥원,data_481,1351122,음성데이터,스마트워치,수정,20170428,양유정,건강보험심사평가원,data_962,1941193,위치데이터,AI스피커
양유정,한국인터넷진흥원,data_942,1596562,건강데이터,스마트워치,생성,20160622,,,,,,
임찬민,CJ올리브네트웍스,data_597,1680695,위치데이터,삼성페이,전달,20170520,김이진,한국과학기술정보연구원,,,,
유지애,한국과학기술정보연구원,data_664,1109457,건강데이터,스마트워치,배포,20170520,임나연,한국데이터진흥원,,,,
양유정,고려대학교,data_186,1055945,의료데이터,스마트워치,판매,20170520,황민현,AWS,,,,
이지효,삼성SDS,data_481,1081683,위치데이터,캐시비,가공,20170615,임나연,국립중앙의료원,data_319,1886671,위치데이터,AI스피커
김성규,한국인터넷진흥원,data_471,1077655,건강데이터,스마트워치,생성,20160222,,,,,,
이태민,CJ올리브네트웍스,data_569,1548521,의료데이터,스마트워치,수정,20170316,윤정한,한국연구재단,data_193,1511762,의료데이터,AI스피커
박은태,안랩,data_899,1423325,위치데이터,레일플러스,가공,20170607,이연희,삼성SDS,data_586,1138547,음성데이터,페이션트모니터
김윤석,정보통신산업진흥원,data_939,1946356,건강데이터,스마트워치,변환,20181224,김지우,국민건강보험공단,data_268,1447112,위치데이터,스마트워치
김지우,한국인터넷진흥원,data_814,1062947,의료데이터,페이션트모니터,배포,20170520,이치훈,건강보험심사평가원,,,,
하인성,CJ올리브네트웍스,data_483,1670983,위치데이터,T머니,판매,20170520,배유빈,한국보건산업진흥원,,,,
김성규,정보통신산업진흥원,data_523,1382455,의료데이터,스마트워치,생성,20181211,,,,,,
권보미,한국개발연구원,data_702,1851385,음성데이터,스마트워치,생성,20170429,,,,,,
안지영,건강보험심사평가원,data_863,1269188,음성데이터,스마트워치,판매,20170520,강한나,국립중앙의료원,,,,
양유정,한국인터넷진흥원,data_573,1831915,의료데이터,AI스피커,판매,20170520,이규형,고려대학교,,,,
이규형,지하철공사,data_848,1472657,건강데이터,스마트워치,전달,20170520,김성규,CJ올리브네트웍스,,,,
최민호,CJ올리브네트웍스,data_819,1471872,건강데이터,스마트워치,가공,20181106,김소정,AWS,data_973,1215473,건강데이터,AI스피커
강민희,고려대학교,data_542,1149982,의료데이터,AI스피커,배포,20170520,강민희,국립중앙의료원,,,,
우진주,안랩,data_496,1357603,위치데이터,캐시비,배포,20170520,양유정,정보통신산업진흥원,,,,
박은태,국민건강보험공단,data_947,1033960,음성데이터,AI스피커,변환,20170520,이태민,안랩,data_784,1386111,음성데이터,AI스피커
박은태,CJ올리브네트웍스,data_720,1660314,위치데이터,캐시비,생성,20180414,,,,,,
이주연,고려대학교,data_537,1858085,음성데이터,AI스피커,수정,20161109,차시루,상명대학교,data_925,1605333,의료데이터,스마트워치
서민지,SK텔레콤,data_925,1497396,의료데이터,스마트워치,가공,20170110,임찬민,삼성SDS,data_411,1467233,의료데이터,AI스피커
서영호,대한법률구조공단,data_510,1337692,음성데이터,스마트워치,전달,20170520,황민현,과학기술정책연구원,,,,
곽은진,안랩,data_413,1968664,위치데이터,T머니,판매,20170520,김이진,한국인터넷진흥원,,,,
정은비,한국데이터진흥원,data_920,1298160,음성데이터,AI스피커,생성,20170512,,,,,,
양유정,한국개발연구원,data_140,1614913,의료데이터,페이션트모니터,전달,20170520,안지영,지하철공사,,,,
양유정,NHN,data_738,1682236,음성데이터,스마트워치,수정,20170206,김다현,한국과학기술정보연구원,data_747,1619362,의료데이터,스마트워치
이규형,고려대학교,data_193,1988258,음성데이터,스마트워치,판매,20170520,이지효,안랩,,,,
서가영,한국개발연구원,data_532,1045790,위치데이터,레일플러스,가공,20170828,김영주,한국연구재단,data_316,1703076,의료데이터,캐시비
김이진,국립중앙의료원,data_249,1711288,의료데이터,페이션트모니터,생성,20180804,,,,,,
김준면,한국과학기술정보연구원,data_781,1352190,의료데이터,스마트워치,생성,20180308,,,,,,
권보아,CJ올리브네트웍스,data_260,1293249,음성데이터,스마트워치,판매,20170520,배주현,한국인터넷진흥원,,,,
도경수,안랩,data_213,1402589,의료데이터,AI스피커,생성,20180817,,,,,,
우진주,한국연구재단,data_288,1928097,의료데이터,AI스피커,변환,20170520,이재균,과학기술정책연구원,data_897,1759079,의료데이터,AI스피커
김지우,국민건강보험공단,data_285,1992224,건강데이터,스마트워치,판매,20170520,이채연,대한법률구조공단,,,,
박은태,상명대학교,data_679,1474749,건강데이터,스마트워치,배포,20170520,송가인,건강보험심사평가원,,,,
정은아,NHN,data_677,1651010,건강데이터,AI스피커,가공,20161006,곽은진,한국인터넷진흥원,data_884,1445154,음성데이터,삼성페이
