소유자,소유자id,소유자type,데이터,값,파일,생성기관,행동,날짜,기타정보,행위자,행위자id,행위자type,시작기간,종료기간,가격,동의여부
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,생성,20180304,,,,,,,,
이상우,880514-1520414,개인,주소,서울 용산구,,행정안전부,생성,20190106,,,,,,,,
이상우,880514-1520414,개인,주민번호,880514-1520414,,행정안전부,생성,20171124,,,,,,,,
이상우,880514-1520414,개인,주민번호,880514-1520414,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
이상우,880514-1520414,개인,주소,서울 용산구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,가공,20200507,익명화,,,,,,,
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,가공,20200609,암호화,,,,,,,
이상우,880514-1520414,개인,은행계좌,02-4326-56723,,신한은행,생성,20180507,,,,,,,,
이상우,880514-1520414,개인,졸업증명서,,graduate.pdf,한국대학교,생성,20180222,,,,,,,,
이상우,880514-1520414,개인,은행계좌,02-4326-56723,,신한은행,제공,20180926,,카카오,534-23-83412,기관,20180511,20201205,250000,Yes
이상우,880514-1520414,개인,직장,카카오,,카카오,생성,20180302,,,,,,,,
이상우,880514-1520414,개인,은행계좌,02-4326-56723,,신한은행,가공,20200812,암호화,,,,,,,
이상우,880514-1520414,개인,직장,카카오,,네이버,가공,20131105,암호화,,,,,,,
이상우,880514-1520414,개인,전화번호,010-2837-3722,,KT모바일,생성,20190402,,,,,,,,
강민석,901421-1154275,개인,차번호,10다7777,,국토교통부,생성,20031212,,,,,,,,
강민석,901421-1154275,개인,주소,서울 강남구,,행정안전부,생성,20100516,,,,,,,,
강민석,901421-1154275,개인,주민번호,901421-1154275,,행정안전부,생성,20150218,,,,,,,,
강민석,901421-1154275,개인,졸업증명서,,certificate.pdf,한국대학교,생성,20151106,,,,,,,,
강민석,901421-1154275,개인,은행계좌,01-3152-45712,,신한은행,생성,20200507,,,,,,,,
강민석,901421-1154275,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
강민석,901421-1154275,개인,차번호,10다7777,,국토교통부,가공,20200507,암호화,,,,,,,
강민석,901421-1154275,개인,주민번호,901421-1154275,,행정안전부,제공,20150908,,우리은행,124-64-12453,기관,20200101,20300101,270000,Yes
강민석,901421-1154275,개인,직장,삼성SDS,,삼성SDS,생성,20080106,,,,,,,,
강민석,901421-1154275,개인,재산정보,,history.pdf,한국감정원,생성,20120723,,,,,,,,
강민석,901421-1154275,개인,메일,jwhd@gmail.com,,구글,생성,20090621,,,,,,,,
강민석,901421-1154275,개인,직장,삼성SDS,,삼성SDS,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
김유정,920514-2087456,개인,직장,네이버,,네이버,생성,20080106,,,,,,,,
김유정,920514-2087456,개인,범죄기록,,record.pdf,경찰청,생성,20110618,,,,,,,,
김유정,920514-2087456,개인,메일,jwhd@gmail.com,,구글,생성,20090403,,,,,,,,
김유정,920514-2087456,개인,직장,네이버,,네이버,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
김유정,920514-2087456,개인,직장,네이버,,네이버,가공,20131105,암호화,,,,,,,
김유정,920514-2087456,개인,메일,jwhd@gmail.com,,구글,제공,20130512,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
김유정,920514-2087456,개인,범죄기록,,record.pdf,경찰청,제공,20110618,,네이버,451-84-65752,기관,20180711,20200810,500000,Yes
김유정,920514-2087456,개인,차번호,12허4444,,국토교통부,생성,20180304,,,,,,,,
김유정,920514-2087456,개인,주소,서울 마포구,,행정안전부,생성,20190106,,,,,,,,
김유정,920514-2087456,개인,주민번호,920514-2087456,,행정안전부,생성,20171124,,,,,,,,
김유정,920514-2087456,개인,주민번호,920514-2087456,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
김유정,920514-2087456,개인,주소,서울 마포구,,행정안전부,제공,20200507,,국토교통부,124-12-57685,기관,20121112,20211111,600000,Yes
김유정,920514-2087456,개인,차번호,12허4444,,국토교통부,제공,20180304,,네이버,451-84-65752,기관,20200405,20250404,250000,Yes
김유정,920514-2087456,개인,카드번호,3726-4736-3726-2736,,신한카드,생성,20200222,,,,,,,,
김유정,920514-2087456,개인,은행계좌,12-2431-41234,,국민은행,생성,20180302,,,,,,,,
박성윤,930501-1154218,개인,직장,상명대학교,,상명대학교,생성,20010506,,,,,,,,
박성윤,930501-1154218,개인,전화번호,010-3827-2826,,T모바일,생성,20000708,,,,,,,,
