소유자,소유자id,소유자type,데이터,값,파일,생성기관,행동,날짜,기타정보,행위자,행위자id,행위자type,시작기간,종료기간,가격,동의여부
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,생성,20180304,,,,,,,,
이상우,880514-1520414,개인,주소,서울 용산구,,행정안전부,생성,20190106,,,,,,,,
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,가공,20200507,익명화,,,,,,,
이상우,880514-1520414,개인,주민번호,980514-1520414,,행정안전부,생성,20171124,,,,,,,,
이상우,880514-1520414,개인,주민번호,980514-1520414,,행정안전부,제공,20200507,,안랩,024-12-54321,기관,20201211,20291205,510000,Yes
이상우,880514-1520414,개인,주소,서울 용산구,,행정안전부,제공,20200312,,사랑병원,021-94-24353,기관,20201212,20251205,120000,Yes
이상우,880514-1520414,개인,은행계좌,01-3152-45712,,신한은행,생성,20150218,,,,,,,,
이상우,880514-1520414,개인,진료내역,,record.pdf,참좋은치과,생성,20190514,,,,,,,,
이상우,880514-1520414,개인,예매내역,,ticket.csv,인터파크,생성,20171215,,,,,,,,
이상우,880514-1520414,개인,진료내역,,record.pdf,참좋은치과,가공,20200325,암호화,,,,,,,
이상우,880514-1520414,개인,졸업증명서,,certificate.pdf,한국대학교,생성,20151106,,,,,,,,
이상우,880514-1520414,개인,근로소득,"3,500,000",,국세청,생성,20110908,,,,,,,,
이상우,880514-1520414,개인,성명,이상우,,행정안전부,생성,20141015,,,,,,,,
이상우,880514-1520414,개인,잔액,"1,510,540",,신한은행,생성,20170508,,,,,,,,
이상우,880514-1520414,개인,신용등급,2등급,,신한은행,생성,20180108,,,,,,,,
이상우,880514-1520414,개인,진료내역,,record.pdf,공공기관,제공,20200426,,국민건강보험공단,230-14-24182,기관,20200115,20291205,300000,Yes
이상우,880514-1520414,개인,예매내역,,ticket.csv,인터파크,제공,20181215,,신한은행,237-29-63424,기관,20200212,20250415,115000,No
이상우,880514-1520414,개인,예매내역,,ticket.csv,인터파크,가공,20200517,익명화,,,,,,,
이상우,880514-1520414,개인,차번호,21바1542,,국토교통부,제공,20200511,,인터파크,734-73-45323,기관,20200212,20280315,150000,No
