소유자,소유자소속,데이터,가격,데이터종류,수집장치,행동,날짜,행위자,행위자소속,데이터,가격,데이터종류,수집장치
장윤아,화웨이,data_001,1124440,시간데이터,구글홈미니,판매,20120514,이현성,CJ올리브네트웍스,,,,
최빈영,한화캐미칼,data_166,1093666,의료데이터,레일플러스,판매,20191124,장윤아,화웨이,,,,
장리하,한양대학교,data_518,1955559,건강데이터,갤럭시홈미니,생성,20161025,,,,,,
황유면,P&G,data_183,1303136,속도데이터,캐시비,생성,20160210,,,,,,
수채원,주택금융공사,data_733,1292361,나이데이터,코어스마트밴드,배포,20160725,최빈영,한화캐미칼,,,,
조효휘,안랩,data_107,1866984,속도데이터,페이션트모니터,가공,20180329,,,data_714,1066951,건강데이터,AI스피커
배예훈,암베브,data_406,1194621,이미지데이터,샤오미미밴드,생성,20170307,,,,,,
최남현,BankofAmerica,data_912,1294960,주거데이터,갤럭시홈미니,생성,20170619,,,,,,
이효원,에어포항,data_905,1156145,문서데이터,샤오미미밴드,생성,20160623,,,,,,
한휘아,REWE,data_322,1062562,통화시간데이터,샤오미미밴드,가공,20131012,,,data_139,1021150,음성데이터,삼성페이
조경택,3M,data_805,1094466,통화시간데이터,AITHinkQ,배포,20170801,수채원,주택금융공사,,,,
조현민,한국가스기술공사,data_003,1663281,이미지데이터,갤럭시홈미니,배포,20180115,조경택,3M,,,,
조현휘,교보생명,data_777,1609214,나이데이터,AITHinkQ,가공,20131019,,,data_145,1070750,음성데이터,T머니
박민휘,중소기업진흥공단,data_019,1440658,성별데이터,AITHinkQ,판매,20170323,이지호,삼성SDS,,,,
한현언,컴캐스트,data_268,1835654,체온데이터,네이버페이,배포,20151222,이태민,국립중앙의료원,,,,
조채현,한국언론진흥재단,data_294,1655602,시청데이터,신한카드,가공,20170131,,,data_866,1049548,건강데이터,스마트워치
박은천,SAP,data_175,1663461,속도데이터,애플워치,판매,20200706,이채연,NHN,,,,
한현호,에미레이트항공,data_251,1506604,행동이력데이터,구글홈미니,배포,20120209,최민호,한국과학기술정보연구원,,,,
장림성,GS칼텍스,data_905,1259561,속도데이터,삼성카드,배포,20160423,정은아,국립중앙의료원,,,,
한희현,상명대학교,data_192,1681486,문서데이터,갤럭시홈미니,가공,20160123,,,data_806,1740905,위치데이터,AI스피커
한세빈,애플,data_794,1888384,위치데이터,샤오미AI스피커,배포,20160901,정윤오,국립중앙의료원,,,,
이수연,텐센트,data_477,1080130,요일데이터,구글홈미니,가공,20171125,,,data_606,1688080,위치데이터,스마트워치
이소영,한화손해보험,data_967,1163596,교통데이터,구글홈미니,판매,20130713,박진우,지하철공사,,,,
수보루,BAYER,data_914,1613052,문자데이터,샤오미미밴드,변환,20190423,,,data_983,1488388,위치데이터,T머니
김미자,대한법률구조공단,data_157,1864164,나이데이터,갤럭시홈미니,판매,20190909,정윤오,정보통신산업진흥원,,,,
한영찬,상명대학교,data_404,1436121,시간데이터,삼성페이,가공,20190921,,,data_860,1180585,음성데이터,스마트워치
조예진,한국전기안전공사,data_963,1386601,소득데이터,카카오페이,가공,20180729,,,data_565,1826354,의료데이터,스마트워치
정윤오,정보통신산업진흥원,data_386,1942032,의료데이터,애플워치,배포,20170125,박지민,국립중앙의료원,,,,
권유현,롯데쇼핑,data_229,1803145,성별데이터,네이버페이,변환,20190625,,,data_857,1777408,위치데이터,페이션트모니터
박지민,국립중앙의료원,data_291,1462651,통화시간데이터,레일플러스,판매,20161003,이수현,한국개발연구원,,,,
강민영,BMW,data_685,1458962,영상데이터,삼성카드,생성,20201110,,,,,,
이수현,한국개발연구원,data_093,1826940,영상데이터,스마트워치,배포,20131201,김다현,SK텔레콤,,,,
도경아,SK(주),data_732,1612290,문자데이터,갤럭시홈미니,변환,20161128,,,data_872,1363879,의료데이터,AI스피커
한예진,한국토지공사,data_268,1646294,날씨데이터,구글홈미니,가공,20130405,,,data_628,1775074,의료데이터,AI스피커
김소림,허니웰,data_841,1824849,날씨데이터,구글홈미니,생성,20150120,,,,,,
김다현,SK텔레콤,data_969,1168084,의료데이터,신한카드,생성,20201020,정은아,고려대학교,,,,
한효재,전북대학교,data_018,1486566,영상데이터,카카오페이,생성,20200810,,,,,,
이주연,한국보건산업진흥원,data_434,1850383,체온데이터,T머니,배포,20190110,최연경,한국농어촌공사,,,,
이유일,루프트한자,data_333,1582531,날씨데이터,구글홈미니,생성,20130604,,,,,,
박기윤,NH농협생명,data_015,1033200,행동이력데이터,스마트워치,생성,20160904,,,,,,
장하휘,LG유플러스,data_687,1390963,나이데이터,신한카드,생성,20180117,,,,,,
박정경,LATAM,data_119,1480009,이미지데이터,샤오미미밴드,변환,20150403,,,data_599,1865043,위치데이터,스마트워치
최주진,한국보건산업진흥원,data_331,1135556,건강데이터,갤럭시워치,배포,20190513,이주연,한국보건산업진흥원,,,,
한은이,한국거래소,data_172,1821116,의료데이터,샤오미AI스피커,변환,20180305,,,data_847,1416589,의료데이터,AI스피커
장도아,NHN,data_320,1290636,속도데이터,갤럭시워치,변환,20190822,,,data_880,1730498,음성데이터,스마트워치
조영동,현대오일뱅크,data_150,1993536,통화시간데이터,페이션트모니터,변환,20161224,,,data_234,1321467,음성데이터,삼성페이
조지연,AirFrance,data_928,1219486,이동거리데이터,LG페이,가공,20120208,,,data_458,1658107,음성데이터,레일플러스
주영훈,한국가스공사,data_911,1160634,체온데이터,스마트글래스,변환,20130509,,,data_707,1171956,위치데이터,T머니
김휘민,INDITEX,data_870,1052616,행동이력데이터,스마트글래스,생성,20160901,,,,,,
한유람,한국전력공사,data_487,1606245,이미지데이터,카카오페이,배포,20190407,최주진,한국보건산업진흥원,,,,
조근호,신한금융,data_924,1636612,이동거리데이터,신한카드,판매,20171102,한유람,한국전력공사,,,,
장예인,코리아익스프레스에어,data_629,1404963,의료데이터,샤오미미밴드,판매,20191122,정은아,고려대학교,,,,
한도현,월마트,data_616,1044656,체온데이터,카카오페이,배포,20190513,한아름,NHN,,,,
차준호,인천국제공항공사,data_911,1636990,의료데이터,AITHinkQ,가공,20200605,,,data_440,1760270,건강데이터,T머니
박자정,성균관대학교,data_787,1069839,성별데이터,구글홈미니,가공,20180712,,,data_427,1235365,건강데이터,AI스피커
박남욱,NOKIA,data_824,1566563,나이데이터,롯데카드,생성,20131221,,,,,,
이문선,네슬레,data_990,1589809,문서데이터,T머니,가공,20180530,,,data_957,1239188,의료데이터,스마트워치
최은민,미쓰비시UFJ,data_590,1020101,소득데이터,T머니,배포,20191111,윤소호,숙명여자대학교,,,,
이민원,주택도시보증공사,data_544,1648662,문서데이터,T머니,변환,20161002,,,data_975,1094467,위치데이터,AI스피커
김소민,국민건강보험공단,data_851,1460444,교통데이터,샤오미미밴드,생성,20120420,,,,,,
조연아,페이스북,data_116,1883351,문서데이터,샤오미미밴드,변환,20160403,,,data_932,1576160,위치데이터,스마트워치
장원준,건강보험심사평가원,data_328,1528450,요일데이터,스마트글래스,배포,20180330,박진우,SK텔레콤,,,,
오지림,에어서울,data_770,1620108,주거데이터,샤오미미밴드,변환,20131119,,,data_941,1189368,위치데이터,AI스피커
조지균,한국콘텐츠진흥원,data_029,1262308,날씨데이터,KB국민카드,배포,20150825,유정연,한국인터넷진흥원,,,,
조빈희,한국마사회,data_736,1136005,이동거리데이터,코어스마트밴드,배포,20180109,민경아,상명대학교,,,,
조대운,현대모비스,data_686,1618681,의료데이터,롯데카드,배포,20121226,김민규,지하철공사,,,,
