name,affiliation,activityType,date,dataName,dataType,price,device
Olie,국민건강보험공단,판매,20160929,data_601,위치데이터,1216249,T머니
Maud,한국보건산업진흥원,출판,20181112,data_924,건강데이터,1591148,AI스피커
Mamie,건강보험심사평가원,수정,20160812,data_245,위치데이터,1429070,레일플러스
Emily,지하철공사,수정,20180219,data_871,음성데이터,1270048,AI스피커
Pearl,한국보건산업진흥원,판매,20170203,data_157,위치데이터,1355426,레일플러스
Caroline,국민건강보험공단,수정,20180411,data_949,건강데이터,1852893,스마트워치
Pearl,대한법률구조공단,구매,20161026,data_199,음성데이터,1411718,스마트워치
Tilda,한국연구재단,구매,20181228,data_180,건강데이터,1335153,스마트워치
Pearl,삼성SDS,판매,20180515,data_779,음성데이터,1545833,스마트워치
Faith,국립중앙의료원,판매,20180803,data_964,음성데이터,1504720,AI스피커
Cora,정보통신산업진흥원,수정,20161031,data_828,의료데이터,1572010,페이션트모니터
Eva,한국연구재단,수정,20160201,data_779,의료데이터,1938532,스마트워치
Elizabeth,과학기술정책연구원,판매,20161219,data_683,의료데이터,1441261,스마트워치
Leo,한국연구재단,판매,20161217,data_141,위치데이터,1676708,레일플러스
Onie,한국개발연구원,판매,20160109,data_338,의료데이터,1156538,스마트워치
Maggie,한국개발연구원,구매,20180530,data_617,위치데이터,1565390,T머니
Faith,CJ올리브네트웍스,출판,20160516,data_780,의료데이터,1247889,스마트워치
Emily,한국개발연구원,수정,20161017,data_371,음성데이터,1481734,스마트워치
Blanche,CJ올리브네트웍스,판매,20180627,data_567,음성데이터,1597891,AI스피커
Nancy,지하철공사,출판,20170126,data_880,의료데이터,1943412,스마트워치
Effie,한국과학기술정보연구원,판매,20160113,data_239,건강데이터,1086520,AI스피커
Yetta,국민건강보험공단,출판,20170423,data_419,음성데이터,1757100,스마트워치
Anna,건강보험심사평가원,구매,20161114,data_949,위치데이터,1275677,T머니
Sarah,한국연구재단,출판,20171125,data_155,음성데이터,1605159,AI스피커
Alma,고려대학교,판매,20180108,data_853,건강데이터,1060259,AI스피커
Lillian,숙명여자대학교,수정,20160818,data_555,위치데이터,1739088,삼성페이
Mollie,정보통신산업진흥원,출판,20170310,data_267,건강데이터,1490350,스마트워치
Faith,상명대학교,구매,20180714,data_921,위치데이터,1654436,캐시비
Carey,고려대학교,수정,20160401,data_691,건강데이터,1186414,AI스피커
Dee,SK텔레콤,수정,20180505,data_562,음성데이터,1798925,AI스피커
Minnie,AWS,구매,20180404,data_871,의료데이터,1933263,AI스피커
Nealie,한국보건산업진흥원,출판,20171027,data_235,음성데이터,1601933,AI스피커
Leo,CJ올리브네트웍스,구매,20170508,data_698,음성데이터,1841973,AI스피커
Elizabeth,고려대학교,구매,20170104,data_319,의료데이터,1657380,스마트워치
Georgia,대한법률구조공단,출판,20160709,data_384,음성데이터,1666705,스마트워치
Alice,안랩,구매,20160516,data_771,음성데이터,1085713,AI스피커
Muriel,숙명여자대학교,출판,20170628,data_113,의료데이터,1221114,AI스피커
Cora,한국과학기술정보연구원,구매,20170617,data_966,음성데이터,1395347,AI스피커
Jenette,한국개발연구원,판매,20160730,data_486,음성데이터,1778634,AI스피커
